"train/global_step","gpt2-large_aux-without_ln - _step","gpt2-large_aux-without_ln - _step__MIN","gpt2-large_aux-without_ln - _step__MAX","gpt2-large_aux-without_ln - main_loss","gpt2-large_aux-without_ln - main_loss__MIN","gpt2-large_aux-without_ln - main_loss__MAX"
"326","32532.9","32527","32540","2.672610282897949","2.4462571144104004","2.8377158641815186"
"327","32633.875","32624","32641","2.7480804920196533","2.603224754333496","2.835505247116089"
"328","32728.333333333332","32721","32736","2.7306136820051403","2.636378049850464","2.851224899291992"
"329","32825.5","32818","32835","2.7358713388442992","2.6376590728759766","2.8971903324127197"
"330","32922.3","32916","32933","2.6987672805786134","2.479862689971924","2.802997350692749"
"331","33024.2","33017","33030","2.657391834259033","2.6090753078460693","2.7106075286865234"
"332","33117.916666666664","33110","33124","2.663445830345154","2.5677897930145264","2.7544915676116943"
"333","33214.88888888889","33208","33224","2.719372828801473","2.6114213466644287","2.850961208343506"
"334","33312.27272727273","33304","33321","2.7096574739976362","2.576702833175659","2.8615520000457764"
"335","33408.555555555555","33402","33418","2.7404016388787165","2.6995739936828613","2.816389560699463"
"336","33509","33500","33516","2.7459731101989746","2.6338067054748535","2.823967695236206"
"337","33604.916666666664","33597","33613","2.7208109498023987","2.6419520378112793","2.830371618270874"
"338","33700.75","33693","33708","2.7627674341201782","2.699810028076172","2.8028807640075684"
"339","33797.2","33790","33804","2.696355605125427","2.520362377166748","2.809168577194214"
"340","33895","33887","33904","2.692538619041443","2.5309665203094482","2.8572351932525635"
"341","33988.5","33984","33996","2.6818952560424805","2.552056312561035","2.785905361175537"
"342","34091.9","34083","34098","2.7389208555221556","2.609278917312622","2.8462443351745605"
"343","34187.307692307695","34179","34196","2.701280190394475","2.5651028156280518","2.9121296405792236"
"344","34284.454545454544","34276","34293","2.741544571789828","2.5764214992523193","2.9644298553466797"
"345","34382","34374","34389","2.6767903864383698","2.584794521331787","2.7211408615112305"
"346","34480.4","34470","34487","2.713559651374817","2.6614291667938232","2.7423415184020996"
"347","34576.42857142857","34567","34584","2.726163796016148","2.641061305999756","2.852156639099121"
"348","34670.25","34665","34676","2.711641490459442","2.5037524700164795","2.895955801010132"
"349","34769.75","34763","34777","2.7026272416114807","2.6024112701416016","2.775787830352783"
"350","34869","34862","34876","2.6744155287742615","2.6033871173858643","2.747479200363159"
"351","34964.57142857143","34958","34970","2.740814277103969","2.6605234146118164","2.8608505725860596"
"352","35061.166666666664","35054","35069","2.6993921597798667","2.636611223220825","2.7916088104248047"
"353","35158.28571428572","35151","35166","2.701336758477347","2.5798678398132324","2.846339225769043"
"354","35256.8","35250","35264","2.684954881668091","2.570202112197876","2.761540174484253"
"355","35352.375","35346","35358","2.712470978498459","2.5494353771209717","2.8165555000305176"
"356","35450.8","35442","35459","2.6865944623947144","2.545360803604126","2.80539608001709"
"357","35547.333333333336","35540","35554","2.721788141462538","2.60650634765625","2.7959110736846924"
"358","35644.166666666664","35636","35653","2.6910059452056885","2.5374081134796143","2.832144260406494"
"359","35740.2","35735","35749","2.7125803232192993","2.592275381088257","2.809094190597534"
"360","35840.6","35832","35848","2.6900296449661254","2.583545446395874","2.805532455444336"
"361","35936.36363636364","35928","35945","2.723203507336703","2.6441917419433594","2.7945523262023926"
"362","36033.71428571428","36025","36041","2.724319747516087","2.5096161365509033","2.8947529792785645"
"363","36129.333333333336","36123","36138","2.732556184132894","2.6405720710754395","2.7770540714263916"
"364","36228.555555555555","36220","36236","2.7018970913357205","2.6400396823883057","2.771230459213257"
"365","36322.77777777778","36316","36330","2.6916816499498157","2.55936336517334","2.8165996074676514"
"366","36422.166666666664","36414","36431","2.700193226337433","2.544645309448242","2.8698842525482178"
"367","36519.375","36511","36526","2.703293114900589","2.6233468055725098","2.7948243618011475"
"368","36617.8","36613","36623","2.7254189968109133","2.6779792308807373","2.7689733505249023"
"369","36713.72727272727","36706","36722","2.714272217317061","2.5665159225463867","2.800694704055786"
"370","36810.666666666664","36803","36819","2.71735856268141","2.486372947692871","2.8505611419677734"
"371","36906.9","36899","36914","2.720195460319519","2.650031805038452","2.7780392169952393"
"372","37006.833333333336","37000","37014","2.7273523807525635","2.636702537536621","2.908582925796509"
"373","37100.8","37095","37110","2.7134161949157716","2.6033778190612793","2.8229892253875732"
"374","37199.8","37194","37205","2.652407503128052","2.5936708450317383","2.6967296600341797"
"375","37296.416666666664","37289","37304","2.714565396308899","2.5831539630889893","2.8674349784851074"
"376","37393.11111111111","37385","37402","2.7021344237857394","2.6014533042907715","2.846433639526367"
"377","37491.181818181816","37482","37498","2.6938559358770195","2.6241326332092285","2.7985966205596924"
"378","37589","37583","37596","2.7043446434868708","2.6055259704589844","2.793318271636963"
"379","37684.333333333336","37677","37690","2.6929176913367376","2.600146532058716","2.791853189468384"
"380","37783.3","37774","37791","2.697997736930847","2.6034746170043945","2.801769733428955"
"381","37879.3","37873","37887","2.7218087911605835","2.644185781478882","2.843517780303955"
"382","37976.875","37968","37983","2.7392580807209015","2.650668144226074","2.8200151920318604"
"383","38073.7","38066","38082","2.6544309854507446","2.538625478744507","2.8101999759674072"
"384","38172.22222222222","38164","38179","2.7222183545430503","2.6634585857391357","2.783843517303467"
"385","38268.7","38260","38277","2.7024316787719727","2.6148688793182373","2.7815942764282227"
"386","38364.818181818184","38357","38374","2.67513463713906","2.5559303760528564","2.8046979904174805"
"387","38462.333333333336","38454","38471","2.722845368915134","2.6197636127471924","2.8171863555908203"
"388","38558.333333333336","38551","38568","2.6880627473195395","2.541088819503784","2.839057207107544"
"389","38656.71428571428","38651","38662","2.7395282132284984","2.705509662628174","2.774609327316284"
"390","38754.625","38750","38760","2.7309018969535828","2.547095775604248","2.874464750289917"
"391","38852.5","38844","38857","2.705982208251953","2.5772416591644287","2.8531556129455566"
"392","38950.125","38940","38957","2.685680389404297","2.6308226585388184","2.746690273284912"
"393","39046.07692307692","39038","39053","2.713938731413621","2.6149039268493652","2.8277688026428223"
"394","39143.25","39137","39150","2.6979840993881226","2.5105316638946533","2.7922492027282715"
"395","39238.5","39231","39248","2.693775939941406","2.5792109966278076","2.800184965133667"
"396","39337.72727272727","39330","39345","2.7327669967304575","2.5945653915405273","2.894200325012207"
"397","39435.71428571428","39428","39441","2.7343742166246687","2.6514391899108887","2.8022544384002686"
"398","39532.75","39530","39537","2.768934190273285","2.701413631439209","2.7966551780700684"
"399","39627.71428571428","39620","39636","2.677537066595895","2.644547939300537","2.7324085235595703"
"400","39783.79605263158","39641","39984","3.3704710759614644","1.640695333480835","6.594407558441162"
"401","40074.75","40067","40082","2.708317756652832","2.6303510665893555","2.7643771171569824"
"402","40171","40164","40179","2.746789296468099","2.6795215606689453","2.789828062057495"
"403","40267","40260","40275","2.733363015311105","2.6267318725585938","2.821197271347046"
"404","40366.666666666664","40357","40374","2.7172921101252236","2.59696364402771","2.7713541984558105"
"405","40460.77777777778","40455","40469","2.711986223856608","2.6382505893707275","2.839879274368286"
"406","40558.769230769234","40551","40568","2.728270750779372","2.613312244415283","2.8597192764282227"
"407","40651.4","40648","40657","2.669348669052124","2.5829546451568604","2.72200608253479"
"408","40755.375","40747","40763","2.7257387936115265","2.617243528366089","2.8214070796966553"
"409","40851.78571428572","40843","40860","2.7362630537578037","2.62766695022583","2.8816912174224854"
"410","40949.28571428572","40942","40957","2.756410939352853","2.647615432739258","2.8308911323547363"
"411","41046.9","41037","41054","2.6981262445449827","2.5711464881896973","2.7635793685913086"
"412","41142.75","41134","41149","2.6979744732379913","2.621058702468872","2.7890164852142334"
"413","41239.857142857145","41232","41248","2.7099925449916293","2.5413687229156494","2.817253828048706"
"414","41337.5","41329","41345","2.7022364338239035","2.5544638633728027","2.7950363159179688"
"415","41434.27272727273","41426","41443","2.721043023196134","2.6156184673309326","2.7762773036956787"
"416","41531.416666666664","41523","41540","2.7191709677378335","2.6568164825439453","2.861509084701538"
"417","41628.25","41620","41637","2.6801471511522927","2.595346212387085","2.805452346801758"
"418","41725.818181818184","41717","41733","2.715000781145963","2.558396339416504","2.837404251098633"
"419","41820.11111111111","41814","41830","2.715174754460653","2.593174457550049","2.8165218830108643"
"420","41921.4","41913","41928","2.710789132118225","2.626948833465576","2.822816848754883"
"421","42016.545454545456","42009","42024","2.7092741402712734","2.604349374771118","2.8094124794006348"
"422","42115.181818181816","42106","42123","2.7235984802246094","2.545748710632324","2.8095929622650146"
"423","42212","42203","42220","2.6969171251569475","2.665898561477661","2.767866373062134"
"424","42308.90909090909","42301","42316","2.705641443079168","2.562331199645996","2.8298797607421875"
"425","42405.666666666664","42399","42411","2.7185482449001737","2.640111207962036","2.7891526222229004"
"426","42503.6","42497","42512","2.778336834907532","2.651167392730713","2.8706884384155273"
"427","42602.555555555555","42593","42609","2.6857898235321045","2.6441941261291504","2.737323760986328"
"428","42698.666666666664","42691","42706","2.7075863944159613","2.627054452896118","2.8171918392181396"
"429","42794.5","42786","42803","2.6918479204177856","2.5613505840301514","2.8450708389282227"
"430","42890.53846153846","42883","42898","2.699785489302415","2.601229429244995","2.784956693649292"
"431","42988.5","42980","42996","2.702465206384659","2.626966714859009","2.792059898376465"
"432","43085.25","43078","43095","2.7100296914577484","2.509399890899658","2.8278794288635254"
"433","43184","43175","43192","2.7203355176108226","2.583026170730591","2.852091073989868"
"434","43276.375","43272","43282","2.7116289734840393","2.602217197418213","2.834031105041504"
"435","43375","43369","43383","2.722192962964376","2.6559619903564453","2.8043107986450195"
"436","43473.28571428572","43466","43483","2.7555515425545827","2.681057929992676","2.8328866958618164"
"437","43569.22222222222","43563","43577","2.7135259575313992","2.664032220840454","2.8055617809295654"
"438","43669.63636363636","43661","43676","2.71779727935791","2.6275506019592285","2.8292813301086426"
"439","43767.642857142855","43758","43775","2.717243824686323","2.5772488117218018","2.8139820098876953"
"440","43863.46153846154","43855","43872","2.7472976537851186","2.635700225830078","2.8130760192871094"
"441","43958.545454545456","43952","43968","2.716403224251487","2.6257717609405518","2.8384687900543213"
"442","44058.2","44049","44066","2.6693024158477785","2.5795321464538574","2.7598843574523926"
"443","44154.769230769234","44146","44163","2.72650958941533","2.6176164150238037","2.8148269653320312"
"444","44251.444444444445","44244","44261","2.660907824834188","2.533177614212036","2.7618789672851562"
"445","44350.666666666664","44343","44357","2.711721579233805","2.642335891723633","2.7901690006256104"
"446","44445.8","44438","44454","2.6935935020446777","2.515061378479004","2.8632583618164062"
"447","44542.8","44535","44552","2.682590913772583","2.5909206867218018","2.7485876083374023"
"448","44639","44632","44647","2.7386656602223716","2.548891067504883","2.8133256435394287"
"449","44736.666666666664","44729","44745","2.760606050491333","2.64686918258667","2.8484387397766113"
"450","44836.75","44833","44842","2.710066646337509","2.570784568786621","2.903752326965332"
"451","44932","44924","44940","2.725194525718689","2.639211416244507","2.83054256439209"
"452","45029.142857142855","45021","45037","2.7131697790963307","2.525918960571289","2.846959352493286"
"453","45126.28571428572","45119","45135","2.7422967297690257","2.656736135482788","2.815105438232422"
"454","45223.25","45217","45228","2.753231257200241","2.577258825302124","2.938969850540161"
"455","45322","45312","45329","2.735332155227661","2.636770009994507","2.8135759830474854"
"456","45418.142857142855","45411","45425","2.7015674795423235","2.5845658779144287","2.826228618621826"
"457","45514","45507","45523","2.7080891728401184","2.597123861312866","2.816084384918213"
"458","45612.8125","45605","45621","2.692576512694359","2.572969675064087","2.791654586791992"
"459","45708.25","45702","45714","2.6958501736323037","2.640429735183716","2.781555414199829"
"460","45807.833333333336","45800","45815","2.6772443453470864","2.6025004386901855","2.740482807159424"
"461","45903.90909090909","45895","45912","2.712175347588279","2.631622552871704","2.7669174671173096"
"462","46000","45994","46007","2.6780962228775023","2.5931122303009033","2.8006763458251953"
"463","46098.857142857145","46090","46105","2.686373540333339","2.6125545501708984","2.7362589836120605"
"464","46196.857142857145","46188","46204","2.6959045955113004","2.6289074420928955","2.776707649230957"
"465","46291.63636363636","46285","46301","2.696648272601041","2.608180284500122","2.754474639892578"
"466","46387.125","46381","46395","2.727194309234619","2.598430871963501","2.9152774810791016"
"467","46484","46478","46494","2.725084755155775","2.5520637035369873","2.9829225540161133"
"468","46585.2","46576","46593","2.7179840803146362","2.6178579330444336","2.780724287033081"
"469","46681.21428571428","46673","46689","2.713024139404297","2.5991077423095703","2.8046836853027344"
"470","46778.72727272727","46770","46786","2.746687824075872","2.6115682125091553","2.872875928878784"
"471","46875.333333333336","46867","46884","2.696916315290663","2.6120824813842773","2.8651790618896484"
"472","46972.4","46966","46979","2.745067572593689","2.553191661834717","2.8492116928100586"
"473","47069.25","47062","47075","2.710052341222763","2.5704591274261475","2.817429780960083"
"474","47166","47159","47175","2.727697654203935","2.5840539932250977","2.8160061836242676"
"475","47266.5","47256","47273","2.7622462113698325","2.668938398361206","2.8270304203033447"
"476","47359.8","47353","47370","2.713687610626221","2.6383049488067627","2.7531511783599854"
"477","47459.416666666664","47450","47467","2.743881026903788","2.555051803588867","2.9006354808807373"
"478","47554.3","47547","47564","2.682566833496094","2.5930464267730713","2.796849250793457"
"479","47651.857142857145","47645","47659","2.754887785230364","2.6589083671569824","2.8214643001556396"
"480","47748.857142857145","47742","47756","2.6751038346971785","2.638223171234131","2.7138688564300537"
"481","47846","47839","47856","2.691319743792216","2.605818271636963","2.7542011737823486"
"482","47944.5","47937","47952","2.721964697043101","2.635303497314453","2.8364973068237305"
"483","48042.27272727273","48033","48050","2.7091687375848945","2.639874219894409","2.8237454891204834"
"484","48138.28571428572","48132","48144","2.69828394481114","2.6042940616607666","2.856252670288086"
"485","48236.90909090909","48227","48244","2.708784211765636","2.604872941970825","2.79288387298584"
"486","48334.666666666664","48325","48342","2.6942978898684182","2.580721139907837","2.8210458755493164"
"487","48430.27272727273","48422","48439","2.741775707765059","2.669412136077881","2.8384170532226562"
"488","48528.3","48522","48536","2.698698353767395","2.585740327835083","2.804539918899536"
"489","48624.2","48616","48632","2.688846707344055","2.4920127391815186","2.814851999282837"
"490","48720.642857142855","48713","48730","2.6843888419015065","2.572782039642334","2.75679087638855"
"491","48818.375","48811","48825","2.7077569365501404","2.597383975982666","2.806358814239502"
"492","48916.78571428572","48908","48925","2.7158325229372298","2.614443063735962","2.9360873699188232"
"493","49011.444444444445","49005","49022","2.7085170216030545","2.638385772705078","2.8310294151306152"
"494","49110.42857142857","49104","49119","2.702483585902623","2.648787260055542","2.782341718673706"
"495","49205.375","49199","49212","2.6601013839244843","2.5304949283599854","2.7570483684539795"
"496","49304.36363636364","49296","49312","2.706363873048262","2.628584861755371","2.8018765449523926"
"497","49401.5","49394","49410","2.681188076734543","2.6162593364715576","2.7629947662353516"
"498","49499.22222222222","49491","49506","2.714438279469808","2.600311756134033","2.770573616027832"
"499","49597.583333333336","49589","49605","2.728632907072703","2.6192822456359863","2.8831026554107666"
"500","49740.05303030303","49608","49950","2.7446541686852775","1.6290253400802612","5.497727394104004"
"501","50039.5","50033","50048","2.7021090507507326","2.6278865337371826","2.769522190093994"
"502","50140.8","50132","50147","2.669037961959839","2.534681797027588","2.803037643432617"
"503","50234.63636363636","50227","50244","2.703693151473999","2.6066904067993164","2.849273204803467"
"504","50331.88888888889","50325","50341","2.724970473183526","2.64048433303833","2.8554742336273193"
"505","50429.78571428572","50422","50437","2.6848191363470897","2.595533609390259","2.7919137477874756"
"506","50526.9","50519","50536","2.710541582107544","2.5888805389404297","2.8253767490386963"
"507","50624.818181818184","50616","50633","2.6969225623390893","2.5290656089782715","2.839878559112549"
"508","50723.22222222222","50713","50730","2.760074588987562","2.6621828079223633","2.869631767272949"
"509","50815.77777777778","50810","50826","2.737257162729899","2.663266181945801","2.836740493774414"
"510","50919","50915","50924","2.701712171236674","2.570801019668579","2.7929165363311768"
"511","51011.90909090909","51005","51018","2.6862369017167524","2.578979015350342","2.776813507080078"
"512","51110.36363636364","51102","51119","2.7261047580025415","2.6218483448028564","2.8414883613586426"
"513","51208.63636363636","51199","51216","2.6839759133078833","2.5851545333862305","2.7904648780822754"
"514","51301.7","51296","51312","2.7138223886489867","2.603391647338867","2.860264539718628"
"515","51402.09090909091","51393","51410","2.714065053246238","2.6235740184783936","2.8481059074401855"
"516","51500","51492","51506","2.7186316422053745","2.673018217086792","2.7861642837524414"
"517","51597.77777777778","51588","51604","2.7106637954711914","2.6062872409820557","2.7742888927459717"
"518","51693","51685","51702","2.698404398831454","2.5535407066345215","2.7670223712921143"
"519","51791.666666666664","51784","51798","2.7403442594740124","2.6356608867645264","2.7983851432800293"
"520","51887.181818181816","51879","51896","2.725129084153609","2.626417636871338","2.806511878967285"
"521","51984.6","51978","51993","2.6992379426956177","2.5851588249206543","2.8257973194122314"
"522","52083.42857142857","52079","52088","2.715895857129778","2.6460700035095215","2.7545042037963867"
"523","52177.4","52171","52186","2.7299882888793947","2.659675359725952","2.805192470550537"
"524","52276.4","52269","52284","2.678990602493286","2.589082956314087","2.850562572479248"
"525","52372.2","52365","52378","2.7026739358901977","2.6527748107910156","2.7399487495422363"
"526","52470","52462","52477","2.6831564009189606","2.531332015991211","2.7780447006225586"
"527","52570.125","52563","52576","2.7139160335063934","2.5944085121154785","2.815721273422241"
"528","52664.25","52658","52673","2.7088997960090637","2.6324522495269775","2.842080593109131"
"529","52763.90909090909","52755","52771","2.740161115472967","2.575317621231079","2.8680684566497803"
"530","52859.36363636364","52851","52867","2.6673290079290215","2.5684728622436523","2.75455641746521"
"531","52955.625","52948","52965","2.727682441473007","2.6735002994537354","2.8507368564605713"
"532","53053.72727272727","53045","53062","2.7221054380590264","2.60790753364563","2.8612945079803467"
"533","53148.2","53142","53158","2.712470197677612","2.57566237449646","2.845674514770508"
"534","53248.916666666664","53241","53256","2.6747669180234275","2.5561351776123047","2.7567553520202637"
"535","53345.4","53338","53353","2.7270057439804076","2.5485494136810303","2.8047080039978027"
"536","53444.7","53439","53452","2.7228959083557127","2.668513536453247","2.794708728790283"
"537","53540.857142857145","53534","53547","2.656374079840524","2.529667615890503","2.735173225402832"
"538","53637.72727272727","53629","53646","2.7253062941811304","2.613307476043701","2.857053279876709"
"539","53735.3","53728","53742","2.726470375061035","2.6613969802856445","2.8457460403442383"
"540","53831.25","53823","53839","2.7069555521011353","2.659379243850708","2.754747152328491"
"541","53928","53920","53937","2.7081482807795205","2.6232595443725586","2.8136329650878906"
"542","54024.71428571428","54017","54034","2.680459976196289","2.6163692474365234","2.7688517570495605"
"543","54123.9","54116","54130","2.714718961715698","2.5895297527313232","2.871072769165039"
"544","54216.5","54211","54224","2.735187848409017","2.713174819946289","2.769418478012085"
"545","54317","54308","54325","2.742079496383667","2.6170880794525146","2.878840208053589"
"546","54414","54406","54421","2.7086889010209303","2.547983169555664","2.826362371444702"
"547","54512.8","54504","54519","2.718620705604553","2.5852410793304443","2.795020341873169"
"548","54604.875","54600","54612","2.7506341636180878","2.689814567565918","2.8305678367614746"
"549","54704.63636363636","54696","54712","2.70300462029197","2.639531135559082","2.7739787101745605"
"550","54800.125","54794","54809","2.6878673136234283","2.546621561050415","2.776556968688965"
"551","54900.25","54893","54906","2.677451173464457","2.548128366470337","2.7845044136047363"
"552","54994.57142857143","54989","55000","2.7070729732513428","2.606196641921997","2.806098222732544"
"553","55094.4","55084","55101","2.6831462383270264","2.4948651790618896","2.794436454772949"
"554","55188.28571428572","55182","55196","2.7927699429648265","2.7116639614105225","2.854890823364258"
"555","55286.75","55280","55294","2.6577357947826385","2.506164312362671","2.7674660682678223"
"556","55383.25","55375","55391","2.7203161120414734","2.584028959274292","2.798207998275757"
"557","55480.27272727273","55473","55486","2.7265841960906982","2.6058566570281982","2.858391046524048"
"558","55576.818181818184","55570","55584","2.679214195771651","2.524595260620117","2.794881820678711"
"559","55673.63636363636","55667","55680","2.7229422439228403","2.5773372650146484","2.805412530899048"
"560","55771.36363636364","55765","55779","2.692614793777466","2.5805342197418213","2.7537643909454346"
"561","55866.857142857145","55860","55872","2.6574132783072337","2.567843437194824","2.7273173332214355"
"562","55967.333333333336","55959","55974","2.71669069925944","2.598334550857544","2.82204270362854"
"563","56061.2","56054","56068","2.71654953956604","2.5978236198425293","2.8010292053222656"
"564","56160","56152","56168","2.7193115124335656","2.596285581588745","2.864260196685791"
"565","56256.333333333336","56248","56265","2.7114348808924356","2.602273941040039","2.7929341793060303"
"566","56352.818181818184","56345","56361","2.7024079886349766","2.6426563262939453","2.852924346923828"
"567","56450.4","56442","56457","2.708262252807617","2.617732524871826","2.7694010734558105"
"568","56545.2","56539","56553","2.718194103240967","2.603997230529785","2.836902141571045"
"569","56646.75","56637","56653","2.6974822282791138","2.471022367477417","2.898390531539917"
"570","56744.1","56736","56750","2.7242611408233643","2.6147899627685547","2.8520267009735107"
"571","56836.9","56830","56846","2.7153971910476686","2.5899949073791504","2.857027053833008"
"572","56934.92307692308","56927","56944","2.7012588060819187","2.587735414505005","2.7677395343780518"
"573","57033.27272727273","57024","57041","2.695514288815585","2.596691370010376","2.759798765182495"
"574","57128","57122","57134","2.7031446525028775","2.6383514404296875","2.803105354309082"
"575","57225.92307692308","57218","57234","2.7199479066408596","2.522341728210449","2.824138641357422"
"576","57323.307692307695","57315","57332","2.701520956479586","2.593217611312866","2.820053815841675"
"577","57419.22222222222","57413","57429","2.7001279724968805","2.4914357662200928","2.810894012451172"
"578","57515.875","57509","57525","2.703045517206192","2.6249327659606934","2.8413796424865723"
"579","57614.818181818184","57606","57623","2.688240896571766","2.549290418624878","2.7959704399108887"
"580","57710.63636363636","57703","57719","2.699042883786288","2.5195107460021973","2.850297689437866"
"581","57806.88888888889","57801","57815","2.6889290544721813","2.5733768939971924","2.7862420082092285"
"582","57904.4","57898","57913","2.7464913368225097","2.687084436416626","2.840299129486084"
"583","58004.6","57994","58011","2.665709042549133","2.530518054962158","2.808211088180542"
"584","58100.7","58091","58108","2.6755900382995605","2.4068188667297363","2.7457761764526367"
"585","58196.846153846156","58190","58203","2.71764953319843","2.5655672550201416","2.824817180633545"
"586","58293","58286","58300","2.707942318916321","2.5696561336517334","2.7887468338012695"
"587","58388.63636363636","58382","58396","2.70686656778509","2.609484910964966","2.8572795391082764"
"588","58486.57142857143","58479","58496","2.6897080285208568","2.627319812774658","2.8245553970336914"
"589","58583.36363636364","58576","58591","2.650310147892345","2.467961311340332","2.816725254058838"
"590","58679.444444444445","58673","58689","2.698431306415134","2.597188949584961","2.800516366958618"
"591","58778.555555555555","58771","58787","2.662268188264635","2.6156508922576904","2.7143795490264893"
"592","58876.36363636364","58867","58884","2.679309844970703","2.552320957183838","2.776853322982788"
"593","58972.75","58964","58981","2.733381470044454","2.644009828567505","2.828951358795166"
"594","59071.583333333336","59064","59078","2.654408574104309","2.555363178253174","2.7412853240966797"
"595","59165.416666666664","59159","59174","2.7281336188316345","2.6032676696777344","2.9619367122650146"
"596","59266.5","59261","59271","2.697161237398783","2.618565320968628","2.773169755935669"
"597","59358.38461538462","59352","59366","2.6895116842710056","2.5676681995391846","2.8040974140167236"
"598","59457.72727272727","59450","59466","2.6842243021184746","2.581343173980713","2.821805000305176"
"599","59554.71428571428","59547","59562","2.7278428418295726","2.6908862590789795","2.7863411903381348"
"600","59702.24657534246","59565","59911","2.7847138528954494","1.6027923822402954","6.456872463226318"
"601","60000.09090909091","59992","60008","2.697585019198331","2.600632429122925","2.7751879692077637"
"602","60094.875","60088","60103","2.7095740735530853","2.6296448707580566","2.7594780921936035"
"603","60195","60186","60202","2.7131377855936685","2.659446954727173","2.7534866333007812"
"604","60292.857142857145","60288","60298","2.73255147252764","2.6760973930358887","2.7929978370666504"
"605","60388.333333333336","60380","60394","2.6657829549577503","2.5262227058410645","2.7961888313293457"
"606","60483.142857142855","60476","60490","2.7360711097717285","2.628352642059326","2.853351593017578"
"607","60581.22222222222","60574","60590","2.6827552848392062","2.610352039337158","2.7522661685943604"
"608","60678.555555555555","60672","60685","2.706880489985148","2.5931336879730225","2.8058900833129883"
"609","60774.125","60767","60783","2.707012712955475","2.5724222660064697","2.837801456451416"
"610","60871.833333333336","60864","60881","2.715638021628062","2.6618738174438477","2.785701036453247"
"611","60969.166666666664","60963","60975","2.711090366045634","2.6422088146209717","2.7820990085601807"
"612","61065.454545454544","61059","61075","2.7086876522411","2.662137508392334","2.774686813354492"
"613","61165","61155","61172","2.7532223330603705","2.678313732147217","2.81801700592041"
"614","61261.8","61255","61269","2.684324264526367","2.586771011352539","2.7874562740325928"
"615","61356.8","61350","61363","2.6794670820236206","2.5546457767486572","2.7950987815856934"
"616","61455.5","61446","61463","2.7108786900838218","2.6231582164764404","2.8131749629974365"
"617","61551.545454545456","61545","61560","2.691358978098089","2.6144559383392334","2.827028751373291"
"618","61649.25","61641","61657","2.729986935853958","2.554255485534668","2.865609884262085"
"619","61745.125","61738","61754","2.6888019740581512","2.5810420513153076","2.7861766815185547"
"620","61843.125","61836","61850","2.6919646561145782","2.593280792236328","2.8234000205993652"
"621","61940","61931","61947","2.7077951669692992","2.6364238262176514","2.86740779876709"
"622","62035.9","62028","62044","2.7286973714828493","2.601200819015503","2.833538770675659"
"623","62134.8","62128","62142","2.7241031408309935","2.646174430847168","2.817939043045044"
"624","62231.666666666664","62222","62239","2.6812756657600403","2.608206272125244","2.7832586765289307"
"625","62328.88888888889","62323","62336","2.6449576483832464","2.535752773284912","2.7312421798706055"
"626","62424.27272727273","62416","62431","2.688713615590876","2.5860955715179443","2.773684024810791"
"627","62522.09090909091","62514","62530","2.6756565787575464","2.512432336807251","2.7847530841827393"
"628","62617.444444444445","62610","62625","2.687720696131388","2.524834632873535","2.79252290725708"
"629","62714.8","62707","62724","2.6669147491455076","2.5514421463012695","2.807677984237671"
"630","62814.11111111111","62804","62821","2.7069345315297446","2.6364405155181885","2.8502414226531982"
"631","62910.454545454544","62901","62918","2.671801870519465","2.5638294219970703","2.7412045001983643"
"632","63007.3","63000","63015","2.7135561227798464","2.6006531715393066","2.826338052749634"
"633","63103.57142857143","63095","63112","2.7031549385615756","2.6237380504608154","2.8703417778015137"
"634","63201.333333333336","63192","63209","2.711745606528388","2.583946466445923","2.8850626945495605"
"635","63296.77777777778","63290","63306","2.710889948738946","2.65116286277771","2.803229808807373"
"636","63394.333333333336","63387","63402","2.671759565671285","2.5846798419952393","2.769439697265625"
"637","63490.875","63484","63498","2.68781241774559","2.6079089641571045","2.7966408729553223"
"638","63587.545454545456","63580","63595","2.7054334337061103","2.590881109237671","2.777590751647949"
"639","63684.5","63679","63694","2.7068554162979126","2.6210780143737793","2.777409076690674"
"640","63782.27272727273","63774","63791","2.702397194775668","2.597177505493164","2.9297304153442383"
"641","63880.142857142855","63871","63888","2.730217933654785","2.6917433738708496","2.8191919326782227"
"642","63974.125","63968","63985","2.6873754262924194","2.5729291439056396","2.858293294906616"
"643","64072.75","64065","64082","2.7107051014900208","2.5906150341033936","2.798081398010254"
"644","64168","64162","64179","2.672177129321628","2.606884002685547","2.7441768646240234"
"645","64266.4","64259","64276","2.675292491912842","2.5617127418518066","2.7664635181427"
"646","64365.846153846156","64356","64373","2.716909096791194","2.6139163970947266","2.7992966175079346"
"647","64460.75","64454","64469","2.6769661009311676","2.575087547302246","2.7616045475006104"
"648","64559.6","64550","64567","2.7451104640960695","2.6763687133789062","2.8020787239074707"
"649","64654.63636363636","64647","64664","2.6925715533169834","2.5895907878875732","2.842388868331909"
"650","64751.666666666664","64744","64761","2.6835153102874756","2.501739740371704","2.8356339931488037"
"651","64849.22222222222","64841","64858","2.7222730848524304","2.65667724609375","2.8442063331604004"
"652","64948.09090909091","64939","64955","2.686071049083363","2.5702919960021973","2.849275588989258"
"653","65043.333333333336","65035","65050","2.689574360847473","2.538302421569824","2.7742528915405273"
"654","65138.857142857145","65133","65148","2.7157672473362515","2.6136298179626465","2.822455406188965"
"655","65239.545454545456","65230","65246","2.74137637831948","2.6231467723846436","2.8362038135528564"
